target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	4	0	0
ENSDART00000189431.1	11	3.66667	0	0
ENSDART00000160762.2	345	96.9883	1	0.909496
ENSDART00000170804.2	366	114.405	0	0
ENSDART00000165410.2	350	100.832	0	0
ENSDART00000163675.2	339	92.3723	0	0
ENSDART00000171132.2	338	91.5712	0	0
ENSDART00000172037.2	344	96.2214	0	0
ENSDART00000161368.2	354	104.13	0	0
ENSDART00000172374.2	355	104.958	0	0
ENSDART00000167067.2	378	124.924	0	0
ENSDART00000161271.2	334	88.4684	0.5	0.498542
ENSDART00000163938.2	366	114.405	0	0
ENSDART00000161622.2	445	187.923	0	0
ENSDART00000162257.2	426	169.617	0	0
ENSDART00000158119.2	318	76.8418	0	0
ENSDART00000169491.2	387	133.085	0	0
ENSDART00000172528.2	396	141.424	0	0
ENSDART00000166253.2	411	155.23	0	0
ENSDART00000160948.2	323	80.3189	0	0
ENSDART00000161537.2	377	124.024	0	0
ENSDART00000159235.2	348	99.2481	0	0
ENSDART00000171772.2	483	224.947	0	0
ENSDART00000167404.2	357	106.575	0	0
ENSDART00000171344.2	462	204.333	0	0
ENSDART00000168039.2	470	212.118	0	0
ENSDART00000157830.2	431	174.402	0	0
ENSDART00000166182.2	372	119.56	0	0
ENSDART00000167805.2	378	124.924	0	0
ENSDART00000159795.2	419	162.853	0	0
ENSDART00000160202.2	378	124.924	0	0
ENSDART00000163851.2	330	85.3821	0	0
ENSDART00000161463.2	417	160.989	0	0
ENSDART00000164491.2	366	114.405	0	0
ENSDART00000158772.2	348	99.2481	0	0
ENSDART00000167409.2	420	163.827	0	0
ENSDART00000160204.2	348	99.2481	0	0
ENSDART00000166882.2	420	163.827	0	0
ENSDART00000171020.2	383	129.428	1	0.681543
ENSDART00000162456.2	366	114.405	0	0
ENSDART00000164309.2	390	135.799	0	0
ENSDART00000160996.2	369	116.935	0	0
ENSDART00000166892.2	332	86.9032	0	0
ENSDART00000171613.2	393	138.61	1	0.636395
ENSDART00000164961.2	357	106.575	0	0
ENSDART00000164492.2	396	141.424	0	0
ENSDART00000158814.2	396	141.424	0	0
ENSDART00000171201.2	397	142.364	0	0
ENSDART00000164110.2	399	144.205	0	0
ENSDART00000166029.2	381	127.647	0	0
ENSDART00000165676.2	371	118.643	0	0
ENSDART00000163282.2	342	94.684	0	0
ENSDART00000167496.2	346	97.7866	0	0
ENSDART00000164659.2	404	148.734	0	0
ENSDART00000164489.2	350	100.832	0	0
ENSDART00000160625.2	413	157.156	0	0
ENSDART00000169436.2	387	133.085	0	0
ENSDART00000170399.2	380	126.756	0	0
ENSDART00000162378.2	358	107.417	0	0
ENSDART00000169864.2	389	134.9	0	0
ENSDART00000164059.2	336	90.0378	0	0
ENSDART00000168607.2	375	122.209	0	0
ENSDART00000161399.2	381	127.647	0	0
ENSDART00000171483.2	397	142.364	0	0
ENSDART00000171356.2	339	92.3723	0	0
ENSDART00000172182.2	413	157.156	0	0
ENSDART00000113019.3	414	158.123	0	0
ENSDART00000170523.2	375	122.209	0	0
ENSDART00000160187.2	385	131.268	0	0
ENSDART00000114271.4	416	160.04	0	0
ENSDART00000159161.2	423	166.732	0	0
ENSDART00000162061.2	314	74.1994	0	0
ENSDART00000169803.2	998	738.527	0	0
ENSDART00000170923.2	1670	1410.53	0	0
ENSDART00000171190.2	3169	2909.53	484.005	14.674
ENSDART00000165811.2	556	297.462	21.9707	6.51528
ENSDART00000167950.2	667	407.975	0	0
ENSDART00000007487.9	873	613.629	257.961	37.0825
ENSDART00000162972.3	1568	1308.53	77.6844	5.23687
ENSDART00000171570.2	1371	1111.53	42.8269	3.39873
ENSDART00000168177.2	3370	3110.53	1837.89	52.1202
ENSDART00000182440.1	3291	3031.53	0	0
ENSDART00000162709.3	4761	4501.53	745.528	14.6091
ENSDART00000125149.3	3218	2958.53	0	0
ENSDART00000168926.2	1724	1464.53	613.894	36.9757
ENSDART00000169180.2	3210	2950.53	602.281	18.0061
ENSDART00000165795.2	1002	742.527	5.29161	0.628632
ENSDART00000079649.6	641	381.996	5.70839	1.31818
ENSDART00000160925.2	4365	4105.53	357.273	7.67629
ENSDART00000188827.1	4409	4149.53	10.0044	0.212673
ENSDART00000171098.2	437	180.115	4	1.95899
ENSDART00000159824.2	734	474.768	2	0.371594
ENSDART00000162187.2	63	22.12	0	0
ENSDART00000161350.2	63	22.12	0	0
ENSDART00000193555.1	66	22.9455	0	0
ENSDART00000161459.2	60	21.3778	0	0
ENSDART00000184586.1	66	22.9455	0	0
ENSDART00000193441.1	66	22.9455	0	0
ENSDART00000185019.1	66	22.9455	0	0
