target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	4.75	0	0
ENSDART00000189431.1	11	4.45455	0	0
ENSDART00000160762.2	345	110.571	1	0.433503
ENSDART00000170804.2	366	128.319	0	0
ENSDART00000165410.2	350	114.578	0	0
ENSDART00000163675.2	339	105.708	0	0
ENSDART00000171132.2	338	104.862	0	0
ENSDART00000172037.2	344	109.731	0	0
ENSDART00000161368.2	354	117.84	0	0
ENSDART00000172374.2	355	118.734	0	0
ENSDART00000167067.2	378	139.074	0	0
ENSDART00000161271.2	334	101.661	0	0
ENSDART00000163938.2	366	128.319	0	0
ENSDART00000161622.2	445	202.965	0	0
ENSDART00000162257.2	426	184.393	0	0
ENSDART00000158119.2	318	89.5954	0	0
ENSDART00000169491.2	387	147.12	0	0
ENSDART00000172528.2	396	155.656	0	0
ENSDART00000166253.2	411	169.842	0	0
ENSDART00000160948.2	323	93.2384	0	0
ENSDART00000161537.2	377	138.167	0	0
ENSDART00000159235.2	348	112.984	0	0
ENSDART00000171772.2	483	240.382	0	0
ENSDART00000167404.2	357	120.437	0	0
ENSDART00000171344.2	462	219.697	0	0
ENSDART00000168039.2	470	227.572	1	0.210627
ENSDART00000157830.2	431	189.222	0	0
ENSDART00000166182.2	372	133.665	0	0
ENSDART00000167805.2	378	139.074	0	0
ENSDART00000159795.2	419	177.532	0	0
ENSDART00000160202.2	378	139.074	0	0
ENSDART00000163851.2	330	98.682	0	0
ENSDART00000161463.2	417	175.604	0	0
ENSDART00000164491.2	366	128.319	0	0
ENSDART00000158772.2	348	112.984	0	0
ENSDART00000167409.2	420	178.532	0	0
ENSDART00000160204.2	348	112.984	0	0
ENSDART00000166882.2	420	178.532	0	0
ENSDART00000171020.2	383	143.607	0	0
ENSDART00000162456.2	366	128.319	0	0
ENSDART00000164309.2	390	149.93	0	0
ENSDART00000160996.2	369	130.982	0	0
ENSDART00000166892.2	332	100.108	0.5	0.239405
ENSDART00000171613.2	393	152.775	2	0.627498
ENSDART00000164961.2	357	120.437	0	0
ENSDART00000164492.2	396	155.656	0	0
ENSDART00000158814.2	396	155.656	0	0
